,StreetAddress,City,State,ZipCode,Latitude,Longitude,Price,YearBuilt,LotSize,HomeType,Zestimate,Bedrooms,Bathrooms,LivingArea,HOA,BrokerageName,LastSoldPrice,HomeStatus,Parking
13,10 Cascade Ct,San Mateo,CA,94401,37.576473,-122.32231,1550000,1945,5100,SINGLE_FAMILY,1753500,4,2,1370,0,Real Estate Unlimited,405000,FOR_SALE,1
14,181 E Hillsdale Blvd,San Mateo,CA,94403,37.541107,-122.29191,1375000,1948,8293,SINGLE_FAMILY,1583000,2,2,1150,0,Compass,450000,FOR_SALE,1
15,1 Baldwin Ave APT 818,San Mateo,CA,94401,37.566105,-122.32796,343000,1988,958,CONDO,343000,1,1,930,7364,Bay Area Senior Services Inc,0,FOR_SALE,0
16,1 Baldwin Ave APT 916,San Mateo,CA,94401,37.566105,-122.32796,599000,1988,1132,CONDO,613175,2,2,1100,5686,Compass,615000,FOR_SALE,0
17,1 Baldwin Ave APT 306,San Mateo,CA,94401,37.566105,-122.32796,375000,1988,914,CONDO,382003,1,1,930,4873,Bay Area Senior Services Inc,320000,FOR_SALE,0
18,316 N Delaware St,San Mateo,CA,94401,37.5742,-122.327385,1695000,1928,6050,MULTI_FAMILY,1494700,3,3,1958,0,Tri-Star Realty,425100,FOR_SALE,3
19,1734 Quesada Way,Burlingame,CA,94010,37.589195,-122.38621,2198000,1955,8062,SINGLE_FAMILY,2600000,3,2,1700,0,KW Peninsula Estates,0,FOR_SALE,0
20,1426 Benito Ave,Burlingame,CA,94010,37.580097,-122.38006,2199000,1939,5100,SINGLE_FAMILY,2604000,2,2,1470,0,Green Banker Realty,315000,FOR_SALE,0
21,2418 Hillside Dr,Burlingame,CA,94010,37.580914,-122.37814,2795000,1924,5998,SINGLE_FAMILY,2555000,3,2,1700,0,Compass,0,FOR_SALE,0
22,110 Park Rd APT 103,Burlingame,CA,94010,37.57649,-122.34435,1588000,1975,2526,CONDO,1588600,2,2,1740,70,KW Peninsula Estates,1150000,FOR_SALE,0
23,1500 Willow Ave APT 202,Burlingame,CA,94010,37.579536,-122.35849,828000,1981,1176,CONDO,853090,2,2,1032,389,Compass,525000,FOR_SALE,2
24,1401 Joe Dimaggio Ct,San Jose,CA,95122,37.328213,-121.84326,698000,1971,4007,SINGLE_FAMILY,726800,2,1,872,0,Finamore Realty,435000,FOR_SALE,2
25,4970 Cherry Ave UNIT 111,San Jose,CA,95118,37.258377,-121.87965,599980,1979,1879,CONDO,671200,2,2,975,370,EQ1,399500,FOR_SALE,0
26,1070 Niguel Ln,San Jose,CA,95138,37.242004,-121.7645,749000,1998,871,CONDO,849566,2,2,1085,347,Maxreal,330000,FOR_SALE,0
27,1819 Perrone Cir,San Jose,CA,95116,37.35719,-121.85307,849999,1983,4260,SINGLE_FAMILY,834800,3,2,1129,0,Keller Williams Realty-Silicon Valley,0,FOR_SALE,0
28,5313 Olstad Ct,San Jose,CA,95111,37.2621,-121.79963,1298950,1973,7919,SINGLE_FAMILY,1575800,3,3,2106,0,Compass,620000,FOR_SALE,0
29,5059 Glouchester Ct,San Jose,CA,95136,37.26045,-121.85207,1499900,1973,6141,SINGLE_FAMILY,1696400,4,3,2124,0,Bay Realty,1030000,FOR_SALE,0
30,27 Deer Run Cir,San Jose,CA,95136,37.26703,-121.82391,795000,1988,1097,CONDO,903409,3,3,1360,355,Keller Williams Realty-Silicon Valley,800000,FOR_SALE,0
31,292 Stonegate Cir,San Jose,CA,95110,37.312206,-121.87958,399000,1984,670,CONDO,425373,1,1,560,295,Cameo Real Estate,420000,FOR_SALE,1
32,3114 Heather Ridge Dr,San Jose,CA,95136,37.281586,-121.86228,719000,1989,0,CONDO,724400,2,2,1099,586,Compass,289000,FOR_SALE,2
33,1427 McQuesten Dr APT B,San Jose,CA,95122,37.331017,-121.84579,600000,1980,684,CONDO,663100,3,2,1150,420,Intero Real Estate Services,520000,FOR_SALE,1
34,2538 Baton Rouge Dr,San Jose,CA,95133,37.375694,-121.85038,988000,2005,897,TOWNHOUSE,1152200,4,4,1648,215,Action Properties Inc,625000,FOR_SALE,0
35,7837 Prestwick Cir,San Jose,CA,95135,37.291378,-121.73866,879000,1989,435,CONDO,967197,2,2,1804,1078,Keller Williams San Jose Gateway,0,FOR_SALE,2
36,3649 Rowley Dr,San Jose,CA,95132,37.420227,-121.85812,1398888,1970,6851,SINGLE_FAMILY,1624100,5,3,1790,0,Realty One Group Infinity,1025000,FOR_SALE,0
37,5760 Condor Cir,San Jose,CA,95118,37.23465,-121.89702,1499000,1964,7257,SINGLE_FAMILY,1593700,4,2,1700,0,Golden Gate Sotheby's International Realty,0,FOR_SALE,0
38,1900 McBain Ave,San Jose,CA,95125,37.28915,-121.92079,2995000,2005,10254,SINGLE_FAMILY,3532000,5,4,3255,0,Coldwell Banker Realty,1845000,FOR_SALE,2
39,809 Auzerais Ave UNIT 224,San Jose,CA,95126,37.321396,-121.90568,799000,2008,620,CONDO,879800,2,2,1229,41,Intero Real Estate Services,376000,FOR_SALE,0
40,1777 Barcelona Ave,San Jose,CA,95124,37.25347,-121.91517,1939000,1959,6969,SINGLE_FAMILY,2240700,4,3,1996,0,Legacy Real Estate & Assoc.,800000,FOR_SALE,0
41,251 Frangipani Ct,San Jose,CA,95111,37.292637,-121.84275,1185000,2001,3894,SINGLE_FAMILY,1330100,4,3,2205,125,Compass,905000,FOR_SALE,0
42,2213 Quail Bluff Ct,San Jose,CA,95121,37.298534,-121.78875,2498000,1998,11517,SINGLE_FAMILY,2933869,5,3,2835,0,Block Change Real Estate,550000,FOR_SALE,0
43,654 Willis Ave,San Jose,CA,95125,37.321995,-121.894806,999000,1915,6080,SINGLE_FAMILY,1179600,4,2,1775,0,Gold House Realty & Mortgage,609000,FOR_SALE,0
44,6070 Jacques Dr,San Jose,CA,95123,37.237534,-121.842186,1399999,1970,6094,SINGLE_FAMILY,1537100,3,2,1864,0,Realty World Golden Hills,510000,FOR_SALE,0
45,3232 Hostetter Rd,San Jose,CA,95132,37.40713,-121.85469,1525000,1969,6115,SINGLE_FAMILY,1639000,3,2,1453,0,Coldwell Banker-The Real Estate People,663000,FOR_SALE,0
46,1679 Fairwood Ave,San Jose,CA,95125,37.281208,-121.90717,1889000,1960,6886,SINGLE_FAMILY,2055200,4,2,1509,0,KW Silicon City,1310000,FOR_SALE,0
